DATE,LIKE,HAHA,LOVE,WOW,CARE,ANGRY,SAD
2021-11-19,18069.0,549.0,162.0,86.0,32.0,40.0,19.0
2021-11-20,10023.0,50.0,56.0,51.0,15.0,6.0,1.0
2021-11-21,16445.0,798.0,99.0,187.0,20.0,31.0,54.0
2021-11-22,20633.0,1098.0,92.0,131.0,37.0,28.0,32.0
2021-11-23,29821.0,3493.0,173.0,715.0,580.0,98.0,236.0
2021-11-24,20704.0,1932.0,105.0,428.0,57.0,34.0,22.0
2021-11-25,20418.0,1881.0,138.0,392.0,49.0,183.0,77.0
2021-11-26,38547.0,3185.0,244.0,548.0,85.0,50.0,93.0
2021-11-27,53463.0,554.0,386.0,1067.0,351.0,43.0,188.0
2021-11-28,23268.0,2069.0,98.0,331.0,56.0,28.0,108.0
2021-11-29,18477.0,473.0,104.0,948.0,32.0,27.0,52.0
2021-11-30,23969.0,1798.0,99.0,319.0,50.0,55.0,205.0
2021-12-01,14748.0,915.0,116.0,451.0,40.0,46.0,45.0
2021-12-02,15397.0,1809.0,83.0,286.0,33.0,46.0,121.0
2021-12-03,17061.0,1551.0,171.0,193.0,48.0,20.0,32.0
2021-12-04,12481.0,1198.0,65.0,162.0,29.0,62.0,89.0
2021-12-05,13905.0,586.0,74.0,151.0,37.0,22.0,20.0
2021-12-06,33855.0,2424.0,135.0,567.0,81.0,43.0,341.0
2021-12-07,53134.0,28578.0,242.0,1390.0,148.0,170.0,127.0
2021-12-08,14263.0,1582.0,86.0,271.0,229.0,19.0,146.0
2021-12-09,19674.0,1359.0,149.0,220.0,39.0,15.0,27.0
2021-12-10,21306.0,2764.0,279.0,416.0,125.0,39.0,61.0
2021-12-11,17322.0,923.0,126.0,169.0,42.0,18.0,23.0
2021-12-12,6232.0,568.0,146.0,65.0,13.0,15.0,6.0
2021-12-13,27404.0,3884.0,105.0,419.0,51.0,50.0,52.0
2021-12-14,17252.0,1575.0,66.0,241.0,44.0,63.0,57.0
2021-12-15,16581.0,625.0,94.0,160.0,48.0,87.0,429.0
2021-12-16,20104.0,329.0,101.0,146.0,28.0,28.0,10.0
2021-12-17,26213.0,1080.0,158.0,369.0,94.0,27.0,83.0
2021-12-18,20217.0,1844.0,105.0,1670.0,218.0,1316.0,311.0
2021-12-19,17713.0,973.0,84.0,163.0,53.0,71.0,35.0
2021-12-20,10960.0,921.0,85.0,126.0,18.0,18.0,21.0
2021-12-21,16158.0,1897.0,248.0,472.0,134.0,46.0,65.0
